Entry	Add	Entry name	Status	Protein names	Gene names	Organism	Length
Q9EQ45	1	V1R46_MOUSE	reviewed	Vomeronasal type-1 receptor 46 (Vomeronasal type-1 receptor A13) (Vomeronasal type-1 receptor B8)	Vmn1r46 V1ra13 V1rb8	Mus musculus (Mouse)	309
Q9EQ51	1	V1R47_MOUSE	reviewed	Vomeronasal type-1 receptor 47 (Vomeronasal type-1 receptor A4) (Vomeronasal type-1 receptor A7)	Vmn1r47 V1ra4 V1ra7	Mus musculus (Mouse)	310
Q9EQ52	1	V1R48_MOUSE	reviewed	Vomeronasal type-1 receptor 48 (Vomeronasal type-1 receptor A3) (Vomeronasal type-1 receptor A6)	Vmn1r48 V1ra3 V1ra6	Mus musculus (Mouse)	302
Q9WUF1	1	V1R49_MOUSE	reviewed	Vomeronasal type-1 receptor 49 (Vomeronasal receptor VRi2) (Vomeronasal type-1 receptor B2)	Vmn1r49 V1rb2	Mus musculus (Mouse)	310
Q9EP51	1	V1R50_MOUSE	reviewed	Vomeronasal type-1 receptor 50 (Pheromone receptor VN2) (Vomeronasal receptor 2) (Vomeronasal type-1 receptor A5) (Vomeronasal type-1 receptor B1)	Vmn1r50 V1ra5 V1rb1	Mus musculus (Mouse)	310
Q8VIC6	1	V1R51_MOUSE	reviewed	Vomeronasal type-1 receptor 51 (Pheromone receptor 1) (Vomeronasal type-1 receptor A1) (mV1R1) (Vomeronasal type-1 receptor A8)	Vmn1r51 Pr1 V1ra1 V1ra8	Mus musculus (Mouse)	319
Q9EP79	1	V1R52_MOUSE	reviewed	Vomeronasal type-1 receptor 52 (Pheromone receptor VN3) (Vomeronasal receptor 3) (Vomeronasal type-1 receptor A7)	Vmn1r52 V1ra7	Mus musculus (Mouse)	309
Q9EP93	1	V1R53_MOUSE	reviewed	Vomeronasal type-1 receptor 53 (Pheromone receptor VN5) (Vomeronasal receptor 5) (Vomeronasal type-1 receptor B3)	Vmn1r53 V1rb3	Mus musculus (Mouse)	310
Q9EPB8	1	V1R54_MOUSE	reviewed	Vomeronasal type-1 receptor 54 (Pheromone receptor VN7) (Vomeronasal receptor 7) (Vomeronasal type-1 receptor A9)	Vmn1r54 V1ra9	Mus musculus (Mouse)	315
E9Q6I0	1	V2116_MOUSE	reviewed	Vomeronasal type-2 receptor 116 (Vomeronasal type-2 receptor P5)	Vmn2r116 V2rp5	Mus musculus (Mouse)	856
Q4KUS2	1	UN13A_MOUSE	reviewed	Protein unc-13 homolog A (Munc13-1)	Unc13a	Mus musculus (Mouse)	1712
Q9WTS5	1	TEN2_MOUSE	reviewed	"Teneurin-2 (Ten-2) (Protein Odd Oz/ten-m homolog 2) (Tenascin-M2) (Ten-m2) (Teneurin transmembrane protein 2) [Cleaved into: Ten-2, soluble form; Ten-2 intracellular domain (Ten-2 ICD)]"	Tenm2 Kiaa1127 Odz2 Tnm2	Mus musculus (Mouse)	2764
Q8BGB2	1	TTC7A_MOUSE	reviewed	Tetratricopeptide repeat protein 7A (TPR repeat protein 7A)	Ttc7a Ttc7	Mus musculus (Mouse)	858
P35456	1	UPAR_MOUSE	reviewed	Urokinase plasminogen activator surface receptor (U-PAR) (uPAR) (CD antigen CD87)	Plaur	Mus musculus (Mouse)	327
Q8BKT6	1	TSN12_MOUSE	reviewed	Tetraspanin-12 (Tspan-12) (Transmembrane 4 superfamily member 12)	Tspan12 Tm4sf12	Mus musculus (Mouse)	305
P29533	1	VCAM1_MOUSE	reviewed	Vascular cell adhesion protein 1 (V-CAM 1) (VCAM-1) (CD antigen CD106)	Vcam1 Vcam-1	Mus musculus (Mouse)	739
P02716	1	ACHD_MOUSE	reviewed	Acetylcholine receptor subunit delta	Chrnd Acrd	Mus musculus (Mouse)	520
P12657	1	ACM1_MOUSE	reviewed	Muscarinic acetylcholine receptor M1	Chrm1 Chrm-1	Mus musculus (Mouse)	460
O08707	1	ACKR2_MOUSE	reviewed	Atypical chemokine receptor 2 (C-C chemokine receptor D6) (Chemokine-binding protein 2) (Chemokine-binding protein D6)	Ackr2 Ccbp2 D6	Mus musculus (Mouse)	378
P04919	1	B3AT_MOUSE	reviewed	Band 3 anion transport protein (Anion exchange protein 1) (AE 1) (Anion exchanger 1) (MEB3) (Solute carrier family 4 member 1) (CD antigen CD233)	Slc4a1 Ae1	Mus musculus (Mouse)	929
Q8R2Q8	1	BST2_MOUSE	reviewed	Bone marrow stromal antigen 2 (BST-2) (HM1.24 antigen) (CD antigen CD317)	Bst2	Mus musculus (Mouse)	172
Q8CJ12	1	AGRG2_MOUSE	reviewed	Adhesion G-protein coupled receptor G2 (G-protein coupled receptor 64) (Mouse epididymis-specific protein 6) (Me6)	Adgrg2 Gpr64 Me6	Mus musculus (Mouse)	1009
Q80TR1	1	AGRL1_MOUSE	reviewed	Adhesion G protein-coupled receptor L1 (Calcium-independent alpha-latrotoxin receptor 1) (CIRL-1) (Latrophilin-1) (Lectomedin-2)	Adgrl1 Kiaa0821 Lec2 Lphn1	Mus musculus (Mouse)	1466
Q80TS3	1	AGRL3_MOUSE	reviewed	Adhesion G protein-coupled receptor L3 (Latrophilin-3) (Lectomedin-3)	Adgrl3 Kiaa0768 Lec3 Lphn3	Mus musculus (Mouse)	1537
Q923X1	1	AGRL4_MOUSE	reviewed	"Adhesion G protein-coupled receptor L4 (EGF, latrophilin seven transmembrane domain-containing protein 1)"	Adgrl4 Eltd1	Mus musculus (Mouse)	739
Q8VHN7	1	AGRV1_MOUSE	reviewed	Adhesion G-protein coupled receptor V1 (ADGRV1) (EC 3.4.-.-) (G-protein coupled receptor 98) (Monogenic audiogenic seizure susceptibility protein 1) (MASS1) (Neurepin) (Protein rueda) (Very large G-protein coupled receptor 1) (VLGR1) [Cleaved into: ADGRV1 subunit alpha; ADGRV1 subunit beta (VLGR1 subunit beta) (Vbeta)]	Adgrv1 Gpr98 Kiaa0686 Mass1 Vlgr1	Mus musculus (Mouse)	6298
Q91ZV8	1	AGRA2_MOUSE	reviewed	Adhesion G protein-coupled receptor A2 (G-protein coupled receptor 124) (Tumor endothelial marker 5)	Adgra2 Gpr124 Tem5	Mus musculus (Mouse)	1336
P35374	1	AGTR2_MOUSE	reviewed	Type-2 angiotensin II receptor (Angiotensin II type-2 receptor) (AT2)	Agtr2	Mus musculus (Mouse)	363
Q60755	1	CALCR_MOUSE	reviewed	Calcitonin receptor (CT-R)	Calcr	Mus musculus (Mouse)	533
Q8C138	1	ADTRP_MOUSE	reviewed	Androgen-dependent TFPI-regulating protein (Fatty acid esters of hydroxy fatty acids hydrolase ADTRP) (FAHFA hydrolase ADTRP) (EC 3.1.-.-)	Adtrp	Mus musculus (Mouse)	230
Q8VHH7	1	ADCY3_MOUSE	reviewed	"Adenylate cyclase type 3 (EC 4.6.1.1) (ATP pyrophosphate-lyase 3) (Adenylate cyclase type III) (AC-III) (Adenylate cyclase, olfactive type) (Adenylyl cyclase 3) (AC3)"	Adcy3	Mus musculus (Mouse)	1145
Q01337	1	ADA2C_MOUSE	reviewed	Alpha-2C adrenergic receptor (Alpha-2 adrenergic receptor subtype C4) (Alpha-2C adrenoreceptor) (Alpha-2C adrenoceptor) (Alpha-2CAR)	Adra2c	Mus musculus (Mouse)	458
P97445	1	CAC1A_MOUSE	reviewed	"Voltage-dependent P/Q-type calcium channel subunit alpha-1A (Brain calcium channel I) (BI) (Calcium channel, L type, alpha-1 polypeptide isoform 4) (Voltage-gated calcium channel subunit alpha Cav2.1)"	Cacna1a Caca1a Cach4 Cacn3 Cacnl1a4 Ccha1a	Mus musculus (Mouse)	2368
Q9WTY4	1	AQP5_MOUSE	reviewed	Aquaporin-5 (AQP-5)	Aqp5	Mus musculus (Mouse)	265
Q8CI52	1	ASTRC_MOUSE	reviewed	Protein Aster-C (GRAM domain-containing protein 1C)	Gramd1c	Mus musculus (Mouse)	662
P14231	1	AT1B2_MOUSE	reviewed	Sodium/potassium-transporting ATPase subunit beta-2 (Adhesion molecule in glia) (AMOG) (Sodium/potassium-dependent ATPase subunit beta-2)	Atp1b2	Mus musculus (Mouse)	290
Q9CQP8	1	CTSRZ_MOUSE	reviewed	Cation channel sperm-associated auxiliary subunit zeta (CatSper-zeta) (CatSperzeta) (Protein expressed in male leptotene and zygotene spermatocytes 622) (MLZ-622) (Testis-expressed protein 40)	Catsperz Tex40	Mus musculus (Mouse)	194
Q61545	1	EWS_MOUSE	reviewed	RNA-binding protein EWS	Ewsr1 Ews Ewsh	Mus musculus (Mouse)	655
P70424	1	ERBB2_MOUSE	reviewed	Receptor tyrosine-protein kinase erbB-2 (EC 2.7.10.1) (Proto-oncogene Neu) (Proto-oncogene c-ErbB-2) (p185erbB2) (CD antigen CD340)	Erbb2 Kiaa3023 Neu	Mus musculus (Mouse)	1256
Q61527	1	ERBB4_MOUSE	reviewed	Receptor tyrosine-protein kinase erbB-4 (EC 2.7.10.1) (Proto-oncogene-like protein c-ErbB-4) [Cleaved into: ERBB4 intracellular domain (4ICD) (E4ICD) (s80HER4)]	Erbb4 Mer4	Mus musculus (Mouse)	1308
Q80TH2	1	ERBIN_MOUSE	reviewed	Erbin (Densin-180-like protein) (Erbb2-interacting protein) (Protein LAP2)	Erbin Erbb2ip Kiaa1225 Lap2	Mus musculus (Mouse)	1402
Q3U7R1	1	ESYT1_MOUSE	reviewed	Extended synaptotagmin-1 (E-Syt1) (Membrane-bound C2 domain-containing protein)	Esyt1 Fam62a Mbc2	Mus musculus (Mouse)	1092
Q3TZZ7	1	ESYT2_MOUSE	reviewed	Extended synaptotagmin-2 (E-Syt2)	Esyt2 D12Ertd551e Fam62b	Mus musculus (Mouse)	845
Q5DTI8	1	ESYT3_MOUSE	reviewed	Extended synaptotagmin-3 (E-Syt3)	Esyt3 D9Ertd280e Fam62c Kiaa4186	Mus musculus (Mouse)	891
Q60902	1	EP15R_MOUSE	reviewed	Epidermal growth factor receptor substrate 15-like 1 (Epidermal growth factor receptor pathway substrate 15-related sequence) (Eps15-rs) (Eps15-related protein) (Eps15R)	Eps15l1 Eps15-rs Eps15R	Mus musculus (Mouse)	907
P49222	1	EPB42_MOUSE	reviewed	Protein 4.2 (P4.2) (Erythrocyte membrane protein band 4.2) (Erythrocyte protein 4.2)	Epb42 Epb4.2	Mus musculus (Mouse)	691
Q99JW5	1	EPCAM_MOUSE	reviewed	Epithelial cell adhesion molecule (Ep-CAM) (Epithelial glycoprotein 314) (EGP314) (mEGP314) (Protein 289A) (Tumor-associated calcium signal transducer 1) (CD antigen CD326)	Epcam Tacstd1	Mus musculus (Mouse)	315
Q60750	1	EPHA1_MOUSE	reviewed	Ephrin type-A receptor 1 (mEpha1) (EC 2.7.10.1) (Embryonic stem cell kinase) (Tyrosine-protein kinase receptor ESK)	Epha1 Esk	Mus musculus (Mouse)	977
P20489	1	FCERA_MOUSE	reviewed	High affinity immunoglobulin epsilon receptor subunit alpha (Fc-epsilon RI-alpha) (FcERI) (IgE Fc receptor subunit alpha)	Fcer1a Fce1a	Mus musculus (Mouse)	250
Q8K3B1	1	FBSP1_MOUSE	reviewed	F-box/SPRY domain-containing protein 1 (F-box only protein 45) (mFbxo45)	Fbxo45	Mus musculus (Mouse)	286
P20491	1	FCERG_MOUSE	reviewed	High affinity immunoglobulin epsilon receptor subunit gamma (Fc receptor gamma-chain) (FcRgamma) (Fc-epsilon RI-gamma) (IgE Fc receptor subunit gamma) (FceRI gamma)	Fcer1g Fce1g	Mus musculus (Mouse)	86
Q9R0W9	1	ACHA6_MOUSE	reviewed	Neuronal acetylcholine receptor subunit alpha-6	Chrna6 Nica6	Mus musculus (Mouse)	494
Q8R4G9	1	ACHA3_MOUSE	reviewed	Neuronal acetylcholine receptor subunit alpha-3	Chrna3	Mus musculus (Mouse)	499
Q9ERZ4	1	ACM2_MOUSE	reviewed	Muscarinic acetylcholine receptor M2	Chrm2 Chrm-2	Mus musculus (Mouse)	466
Q61503	1	5NTD_MOUSE	reviewed	5'-nucleotidase (5'-NT) (EC 3.1.3.5) (Ecto-5'-nucleotidase) (CD antigen CD73)	Nt5e Nt5 Nte	Mus musculus (Mouse)	576
P21836	1	ACES_MOUSE	reviewed	Acetylcholinesterase (AChE) (EC 3.1.1.7)	Ache	Mus musculus (Mouse)	614
Q64277	1	BST1_MOUSE	reviewed	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2 (EC 3.2.2.6) (ADP-ribosyl cyclase 2) (Antigen BP3) (BP-3 alloantigen) (Bone marrow stromal antigen 1) (BST-1) (Cyclic ADP-ribose hydrolase 2) (cADPr hydrolase 2) (Leukocyte antigen 65) (Ly-65) (CD antigen CD157)	Bst1 Bp-3 Bp3 Ly65	Mus musculus (Mouse)	311
P28028	1	BRAF_MOUSE	reviewed	Serine/threonine-protein kinase B-raf (EC 2.7.11.1) (Proto-oncogene B-Raf)	Braf B-raf	Mus musculus (Mouse)	751
Q61125	1	BKRB1_MOUSE	reviewed	B1 bradykinin receptor (B1R) (BK-1 receptor)	Bdkrb1 Bdkrb	Mus musculus (Mouse)	334
P56818	1	BACE1_MOUSE	reviewed	Beta-secretase 1 (EC 3.4.23.46) (Aspartyl protease 2) (ASP2) (Asp 2) (Beta-site amyloid precursor protein cleaving enzyme 1) (Beta-site APP cleaving enzyme 1) (Memapsin-2) (Membrane-associated aspartic protease 2)	Bace1 Bace	Mus musculus (Mouse)	501
Q9JL18	1	BACE2_MOUSE	reviewed	Beta-secretase 2 (EC 3.4.23.45) (Aspartyl protease 1) (ASP1) (Asp 1) (Beta-site amyloid precursor protein cleaving enzyme 2) (Beta-site APP cleaving enzyme 2) (Memapsin-1) (Membrane-associated aspartic protease 1) (Theta-secretase)	Bace2	Mus musculus (Mouse)	514
P32299	1	BKRB2_MOUSE	reviewed	B2 bradykinin receptor (B2R) (BK-2 receptor)	Bdkrb2	Mus musculus (Mouse)	392
P09470	1	ACE_MOUSE	reviewed	"Angiotensin-converting enzyme (ACE) (EC 3.2.1.-) (EC 3.4.15.1) (Dipeptidyl carboxypeptidase I) (Kininase II) (CD antigen CD143) [Cleaved into: Angiotensin-converting enzyme, soluble form]"	Ace Dcp1	Mus musculus (Mouse)	1312
Q61224	1	5HT1D_MOUSE	reviewed	5-hydroxytryptamine receptor 1D (5-HT-1D) (5-HT1D) (Serotonin receptor 1D)	Htr1d Gpcr14	Mus musculus (Mouse)	374
P28334	1	5HT1B_MOUSE	reviewed	5-hydroxytryptamine receptor 1B (5-HT-1B) (5-HT1B) (Serotonin receptor 1B)	Htr1b 5ht1b	Mus musculus (Mouse)	386
P35363	1	5HT2A_MOUSE	reviewed	5-hydroxytryptamine receptor 2A (5-HT-2) (5-HT-2A) (Serotonin receptor 2A)	Htr2a Htr2	Mus musculus (Mouse)	471
Q05928	1	BTC_MOUSE	reviewed	Probetacellulin [Cleaved into: Betacellulin (BTC)]	Btc Bcn	Mus musculus (Mouse)	177
Q60613	1	AA2AR_MOUSE	reviewed	Adenosine receptor A2a	Adora2a	Mus musculus (Mouse)	410
Q61618	1	AA3R_MOUSE	reviewed	Adenosine receptor A3 (A3AR)	Adora3 Gpcr2	Mus musculus (Mouse)	319
Q8C1Z7	1	BBS4_MOUSE	reviewed	Bardet-Biedl syndrome 4 protein homolog	Bbs4	Mus musculus (Mouse)	520
Q9CZQ9	1	BBS5_MOUSE	reviewed	Bardet-Biedl syndrome 5 protein homolog	Bbs5	Mus musculus (Mouse)	341
P51912	1	AAAT_MOUSE	reviewed	Neutral amino acid transporter B(0) (ATB(0)) (ASC-like Na(+)-dependent neutral amino acid transporter ASCT2) (Insulin-activated amino acid transporter) (Sodium-dependent neutral amino acid transporter type 2) (Solute carrier family 1 member 5)	Slc1a5 Aaat Asct2 Slc1a7	Mus musculus (Mouse)	553
Q8K2G4	1	BBS7_MOUSE	reviewed	Bardet-Biedl syndrome 7 protein homolog (BBS2-like protein 1)	Bbs7 Bbs2l1	Mus musculus (Mouse)	715
Q8R2V5	1	ADAP2_MOUSE	reviewed	Arf-GAP with dual PH domain-containing protein 2 (Centaurin-alpha-2) (Cnt-a2)	Adap2 Centa2	Mus musculus (Mouse)	381
P03958	1	ADA_MOUSE	reviewed	Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase)	Ada	Mus musculus (Mouse)	352
P97433	1	ARG28_MOUSE	reviewed	Rho guanine nucleotide exchange factor 28 (190 kDa guanine nucleotide exchange factor) (p190-RhoGEF) (p190RhoGEF) (Rho guanine nucleotide exchange factor) (Rho-interacting protein 2)	Arhgef28 Kiaa1998 Rgnef Rhoip2 Rip2	Mus musculus (Mouse)	1693
Q6P9R4	1	ARHGI_MOUSE	reviewed	Rho guanine nucleotide exchange factor 18	Arhgef18 Kiaa0521	Mus musculus (Mouse)	1405
P51683	1	CCR2_MOUSE	reviewed	C-C chemokine receptor type 2 (C-C CKR-2) (CC-CKR-2) (CCR-2) (CCR2) (JE/FIC receptor) (MCP-1 receptor) (CD antigen CD192)	Ccr2 Cmkbr2	Mus musculus (Mouse)	373
P26361	1	CFTR_MOUSE	reviewed	Cystic fibrosis transmembrane conductance regulator (CFTR) (ATP-binding cassette sub-family C member 7) (Channel conductance-controlling ATPase) (EC 5.6.1.6) (cAMP-dependent chloride channel)	Cftr Abcc7	Mus musculus (Mouse)	1476
Q06507	1	ATF4_MOUSE	reviewed	Cyclic AMP-dependent transcription factor ATF-4 (cAMP-dependent transcription factor ATF-4) (Activating transcription factor 4) (C/EBP-related ATF) (C/ATF) (Cyclic AMP-responsive element-binding protein 2) (CREB-2) (cAMP-responsive element-binding protein 2)	Atf4 Creb2	Mus musculus (Mouse)	349
Q8VDN2	1	AT1A1_MOUSE	reviewed	Sodium/potassium-transporting ATPase subunit alpha-1 (Na(+)/K(+) ATPase alpha-1 subunit) (EC 7.2.2.13) (Sodium pump subunit alpha-1)	Atp1a1	Mus musculus (Mouse)	1023
Q6A051	1	ATRN1_MOUSE	reviewed	Attractin-like protein 1	Atrnl1 Alp Atrnl Kiaa0534	Mus musculus (Mouse)	1378
Q7TSN2	1	CLM4_MOUSE	reviewed	CMRF-35-like molecule 4 (CLM-4) (CD300C molecule 2) (Dendritic cell-derived Ig-like receptor 1) (DIgR1) (Immunoglobulin superfamily member 7) (IgSF7) (Leukocyte mono-Ig-like receptor 2) (Myeloid-associated immunoglobulin-like receptor 2) (MAIR-2) (MAIR-II)	Cd300c2 Cd300c Clm4 Igsf7 Lmir2	Mus musculus (Mouse)	228
Q8BMK4	1	CKAP4_MOUSE	reviewed	Cytoskeleton-associated protein 4 (63-kDa cytoskeleton-linking membrane protein) (Climp-63) (p63)	Ckap4	Mus musculus (Mouse)	575
Q8VHP6	1	CDHR1_MOUSE	reviewed	Cadherin-related family member 1 (Photoreceptor cadherin) (prCAD) (Protocadherin-21)	Cdhr1 Kiaa1775 Pcdh21 Prcad	Mus musculus (Mouse)	859
E9Q7P9	1	CDHR2_MOUSE	reviewed	Cadherin-related family member 2	Cdhr2	Mus musculus (Mouse)	1308
P42082	1	CD86_MOUSE	reviewed	T-lymphocyte activation antigen CD86 (Activation B7-2 antigen) (Early T-cell costimulatory molecule 1) (ETC-1) (CD antigen CD86)	Cd86	Mus musculus (Mouse)	309
P40240	1	CD9_MOUSE	reviewed	CD9 antigen (CD antigen CD9)	Cd9	Mus musculus (Mouse)	226
Q8VHW2	1	CCG8_MOUSE	reviewed	Voltage-dependent calcium channel gamma-8 subunit (Neuronal voltage-gated calcium channel gamma-8 subunit) (Transmembrane AMPAR regulatory protein gamma-8) (TARP gamma-8)	Cacng8	Mus musculus (Mouse)	423
Q9Z0S5	1	CLD15_MOUSE	reviewed	Claudin-15	Cldn15	Mus musculus (Mouse)	227
B9EHT4	1	CLIP3_MOUSE	reviewed	CAP-Gly domain-containing linker protein 3 (Cytoplasmic linker protein 170-related 59 kDa protein) (CLIP-170-related 59 kDa protein) (CLIPR-59)	Clip3 Clipr59	Mus musculus (Mouse)	547
O88456	1	CPNS1_MOUSE	reviewed	Calpain small subunit 1 (CSS1) (Calcium-activated neutral proteinase small subunit) (CANP small subunit) (Calcium-dependent protease small subunit) (CDPS) (Calcium-dependent protease small subunit 1) (Calpain regulatory subunit)	Capns1 Capn4	Mus musculus (Mouse)	268
P19070	1	CR2_MOUSE	reviewed	Complement receptor type 2 (Cr2) (Complement C3d receptor) (CD antigen CD21)	Cr2	Mus musculus (Mouse)	1025
Q8BS40	1	CPTP_MOUSE	reviewed	Ceramide-1-phosphate transfer protein (CPTP) (Glycolipid transfer protein domain-containing protein 1)	Cptp Gltpd1	Mus musculus (Mouse)	216
Q9Z140	1	CPNE6_MOUSE	reviewed	Copine-6 (Copine VI) (Neuronal-copine) (N-copine)	Cpne6	Mus musculus (Mouse)	557
Q9ERK7	1	ACHB2_MOUSE	reviewed	Neuronal acetylcholine receptor subunit beta-2	Chrnb2	Mus musculus (Mouse)	501
Q8K442	1	ABC8A_MOUSE	reviewed	ABC-type organic anion transporter ABCA8A (EC 7.6.2.-) (ATP-binding cassette sub-family A member 8A)	Abca8a	Mus musculus (Mouse)	1620
P97717	1	ADA1B_MOUSE	reviewed	Alpha-1B adrenergic receptor (Alpha-1B adrenoreceptor) (Alpha-1B adrenoceptor)	Adra1b	Mus musculus (Mouse)	514
Q9R1V6	1	ADA22_MOUSE	reviewed	Disintegrin and metalloproteinase domain-containing protein 22 (ADAM 22)	Adam22	Mus musculus (Mouse)	904
Q01341	1	ADCY6_MOUSE	reviewed	Adenylate cyclase type 6 (EC 4.6.1.1) (ATP pyrophosphate-lyase 6) (Adenylate cyclase type VI) (Adenylyl cyclase 6) (AC6) (Ca(2+)-inhibitable adenylyl cyclase)	Adcy6	Mus musculus (Mouse)	1165
Q3UGP8	1	AG10B_MOUSE	reviewed	"Putative Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase (EC 2.4.1.256) (Alpha-1,2-glucosyltransferase ALG10-A) (Alpha-2-glucosyltransferase ALG10-B) (Asparagine-linked glycosylation protein 10 homolog B)"	Alg10b	Mus musculus (Mouse)	474
O88875	1	BY55_MOUSE	reviewed	"CD160 antigen (Natural killer cell receptor BY55) (CD antigen CD160) [Cleaved into: CD160 antigen, soluble form]"	Cd160 By55	Mus musculus (Mouse)	185
Q8R2N1	1	AQP3_MOUSE	reviewed	Aquaporin-3 (AQP-3) (Aquaglyceroporin-3)	Aqp3	Mus musculus (Mouse)	292
Q9QUJ7	1	ACSL4_MOUSE	reviewed	Long-chain-fatty-acid--CoA ligase 4 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 4) (LACS 4) (mACS4)	Acsl4 Acs4 Facl4	Mus musculus (Mouse)	711
P62331	1	ARF6_MOUSE	reviewed	ADP-ribosylation factor 6 (EC 3.6.5.2)	Arf6	Mus musculus (Mouse)	175
Q6PGD0	1	ARAID_MOUSE	reviewed	All-trans retinoic acid-induced differentiation factor (Apoptosis-related protein 3) (APR-3)	Atraid Apr3	Mus musculus (Mouse)	223
P00920	1	CAH2_MOUSE	reviewed	Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase II) (CA-II)	Ca2 Car2	Mus musculus (Mouse)	260
Q8BHH1	1	AQP11_MOUSE	reviewed	Aquaporin-11 (AQP-11)	Aqp11	Mus musculus (Mouse)	271
O54794	1	AQP7_MOUSE	reviewed	Aquaporin-7 (AQP-7) (Aquaglyceroporin-7)	Aqp7	Mus musculus (Mouse)	303
Q6PAK3	1	ANM8_MOUSE	reviewed	Protein arginine N-methyltransferase 8 (EC 2.1.1.319) (Heterogeneous nuclear ribonucleoprotein methyltransferase-like protein 4)	Prmt8 Hrmt1l4	Mus musculus (Mouse)	394
Q99JG3	1	ANX13_MOUSE	reviewed	Annexin A13 (Annexin XIII) (Annexin-13)	Anxa13	Mus musculus (Mouse)	317
P61208	1	ARL4C_MOUSE	reviewed	ADP-ribosylation factor-like protein 4C (ADP-ribosylation factor-like 7)	Arl4c Arl7	Mus musculus (Mouse)	192
Q99PE9	1	ARL4D_MOUSE	reviewed	ADP-ribosylation factor-like protein 4D (ADP-ribosylation factor-like protein 4L) (ADP-ribosylation factor-like protein 5)	Arl4d Arf4l Arl5	Mus musculus (Mouse)	201
Q03157	1	APLP1_MOUSE	reviewed	Amyloid beta precursor like protein 1 (Amyloid beta (A4) precursor-like protein 1) (Amyloid-like protein 1) (APLP) (APLP-1) [Cleaved into: C30]	Aplp1	Mus musculus (Mouse)	654
O70578	1	CCG1_MOUSE	reviewed	"Voltage-dependent calcium channel gamma-1 subunit (Dihydropyridine-sensitive L-type, skeletal muscle calcium channel subunit gamma)"	Cacng1	Mus musculus (Mouse)	223
Q9JHE3	1	ASAH2_MOUSE	reviewed	Neutral ceramidase (N-CDase) (NCDase) (EC 3.5.1.-) (EC 3.5.1.23) (Acylsphingosine deacylase 2) (N-acylsphingosine amidohydrolase 2) [Cleaved into: Neutral ceramidase soluble form]	Asah2	Mus musculus (Mouse)	756
